,Artistas,EBAIRRNOMEOF,Votos_PSB,Controle,ind_cadunico,RPA,conv_social,negros,usuarios,Idosos,Infancia
0,53.0,CURADO,,,7501.0,RPA5,14.0,11459,2010.0,4272,3427
1,121.0,DOIS UNIDOS,10889,58.0,18219.0,RPA2,11.0,22862,5432.0,8182,6482
2,51.0,AFLITOS,1830,37.0,72.0,RPA3,1.0,1341,1143.0,2191,548
3,28.0,SANCHO,4220,59.0,2745.0,RPA5,4.0,4525,1414.0,2213,1189
4,518.0,VARZEA,34010,50.0,26772.0,RPA4,37.0,46319,13382.0,19902,12241
5,42.0,COELHOS,,,2755.0,RPA1,3.0,4155,964.0,1683,1147
6,60.0,PEIXINHOS,,,1719.0,RPA2,3.0,2345,404.0,759,649
7,114.0,SAO JOSE,11209,59.0,6567.0,RPA1,23.0,6279,1402.0,2112,2006
8,79.0,SANTO ANTONIO,,,1548.0,RPA1,9.0,311,345.0,150,61
9,71.0,RECIFE,,,899.0,RPA1,20.0,408,793.0,119,151
10,31.0,HIPODROMO,5266,52.0,486.0,RPA2,2.0,844,541.0,887,238
11,45.0,ROSARINHO,4164,39.0,640.0,RPA2,4.0,2703,1736.0,2107,1293
12,59.0,CAMPINA DO BARRETO,6736,57.0,5494.0,RPA2,16.0,6381,1695.0,2388,1818
13,99.0,CASA FORTE,8033,40.0,351.0,RPA3,6.0,1553,2065.0,2799,815
14,70.0,PARNAMIRIM,3586,40.0,620.0,RPA3,10.0,1988,1539.0,2865,1001
15,11.0,GUABIRABA,5958,62.0,3383.0,RPA3,8.0,7798,1993.0,2522,2478
16,101.0,ILHA JOANA BEZERRA,2272,65.0,9227.0,RPA1,12.0,9343,2524.0,2443,3140
17,10.0,CABANGA,1696,57.0,662.0,RPA1,6.0,1232,254.0,570,395
18,20.0,ILHA DO LEITE,4004,62.0,147.0,RPA1,9.0,400,221.0,301,96
19,0.0,PAU FERRO,,,18.0,Fora,0.0,36,0.0,27,13
20,49.0,MANGUEIRA,,,3893.0,RPA5,2.0,5629,1688.0,2333,1502
21,466.0,SANTO AMARO,21719,54.0,15679.0,RPA1,54.0,17628,5468.0,7844,5069
22,551.0,BOA VISTA,12903,45.0,4015.0,RPA1,18.0,5803,3255.0,4768,1163
23,156.0,ESPINHEIRO,4467,40.0,751.0,RPA3,5.0,3611,2632.0,4268,1307
24,26.0,DERBY,1126,37.0,462.0,RPA3,10.0,620,332.0,752,205
25,39.0,SANTANA,,,298.0,RPA3,12.0,902,577.0,1036,325
26,17.0,PAISSANDU,,,196.0,RPA1,3.0,222,145.0,147,52
27,11.0,TOTO,911,46.0,1172.0,Fora,1.0,1385,853.0,766,321
28,304.0,GRACAS,15366,35.0,845.0,RPA3,6.0,5222,4162.0,8117,2396
29,178.0,TORRE,9887,58.0,4876.0,RPA4,20.0,9732,4655.0,6571,3407
30,101.0,ARRUDA,21420,53.0,5112.0,RPA2,6.0,8420,2322.0,4022,2270
31,144.0,ENGENHO DO MEIO,17831,51.0,3246.0,RPA4,13.0,6046,2209.0,3590,1501
32,30.0,CAJUEIRO,6709,51.0,1943.0,RPA2,9.0,3088,1090.0,2015,675
33,296.0,COHAB - IBURA DE CIMA,,,35652.0,Fora,29.0,43985,0.0,17709,12647
34,32.0,ZUMBI,7030,59.0,2209.0,RPA4,2.0,2810,1264.0,1688,727
35,127.0,TAMARINEIRA,7815,50.0,1550.0,RPA3,7.0,4495,3299.0,5444,1708
