,Unnamed: 0,sigla_partido,EBAIRRNOMEOF,comparecimento,votos_totais,RPA,pct_local
0,0,AVANTE,AFLITOS,2464,47,RPA3,1.9074675324675323
1,1,AVANTE,AFOGADOS,23970,430,RPA5,1.7939090529828954
2,2,AVANTE,AGUA FRIA,21755,1112,RPA2,5.1114686279016315
3,3,AVANTE,ALTO JOSE BONIFACIO,6111,121,RPA3,1.9800360006545572
4,4,AVANTE,ALTO JOSE DO PINHO,8184,171,RPA3,2.089442815249267
5,5,AVANTE,ALTO SANTA TEREZINHA,720,34,RPA2,4.722222222222222
6,6,AVANTE,APIPUCOS,2141,138,RPA3,6.445586174684727
7,7,AVANTE,AREIAS,21224,462,RPA5,2.1767810026385224
8,8,AVANTE,ARRUDA,20390,801,RPA2,3.9283962726826873
9,9,AVANTE,BARRO,7084,150,RPA5,2.1174477696216827
10,10,AVANTE,BEBERIBE,18722,552,RPA2,2.9484029484029484
11,11,AVANTE,BOA VIAGEM,60963,870,RPA6,1.4270951232714926
12,12,AVANTE,BOA VISTA,14400,276,RPA1,1.9166666666666665
13,13,AVANTE,BOMBA DO HEMETERIO,6864,353,RPA2,5.142773892773893
14,14,AVANTE,BONGI,2782,51,RPA5,1.8332135154565061
15,15,AVANTE,BRASILIA TEIMOSA,9212,429,RPA6,4.656969170646982
16,16,AVANTE,BREJO DA GUABIRABA,5731,54,RPA3,0.9422439364857791
17,17,AVANTE,BREJO DE BEBERIBE,2264,27,RPA3,1.1925795053003534
18,18,AVANTE,CABANGA,1491,62,RPA1,4.158283031522468
19,19,AVANTE,CAJUEIRO,6579,162,RPA2,2.462380300957592
20,20,AVANTE,CAMPINA DO BARRETO,5940,200,RPA2,3.3670033670033668
21,21,AVANTE,CAMPO GRANDE,17284,600,RPA2,3.4714186530895628
22,22,AVANTE,CASA AMARELA,42857,945,RPA3,2.2050073500245
23,23,AVANTE,CASA FORTE,10157,143,RPA3,1.4078960322929999
24,24,AVANTE,CIDADE UNIVERSITARIA,10950,179,RPA4,1.634703196347032
