,local,EBAIRRNOMEOF,RPA,latitude,longitude,sigla_partido,votos,pct_local
11,ACADEMIA CRISTÃ DE BOA VIAGEM,BOA VIAGEM,RPA6,-8.12225189,-34.90391936,PSB,2250,39.0
32,ACBV -  NINHO EDUCAÇÃO INFANTIL,BOA VIAGEM,RPA6,0.0,0.0,PSB,586,35.0
53,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS,CASA AMARELA,RPA3,-8.02776,-34.92460167,PSB,906,44.0
73,ASSOC. DOS AUDITORES DO TESOURO ESTADUAL,NOVA DESCOBERTA,RPA3,-8.0035653,-34.9178564,PSB,3310,62.0
92,ASSOC. EVANG. LUTERANA DE EDUC. ESPECIAL,CASA AMARELA,RPA3,-8.0260939,-34.911044,PSB,552,56.0
110,ASSOCIAÇÃO CENTRO EDUCACIONAL MAGNO DELAMADRI - ANTIGO CEMA,ALTO JOSE BONIFACIO,RPA3,-8.01222854,-34.90917639,PSB,876,68.0
130,ASSOCIAÇÃO DOS FORNECEDORES DE CANA DE PE,IMBIRIBEIRA,RPA6,-8.1023919,-34.9107612,PSB,3059,47.0
151,ASSOCIAÇÃO DOS SERVIDORES CLUBE DA SUDENE,ENGENHO DO MEIO,RPA4,-8.0540027,-34.9414623,PSB,3114,50.0
172,ATI - AGÊNCIA ESTADUAL DE TECNOLOGIA DA INFORMAÇÃO,SAO JOSE,RPA1,-8.0667271,-34.8836786,PSB,2417,55.0
194,CAIC/TORRE-ESCOLA CREUZA BARRETO DORNELAS CÂMARA,TORRE,RPA4,-8.04485338,-34.91694771,PSB,3269,64.0
215,CASA DA AMIZADE,TORREAO,RPA2,-8.0397377,-34.8833764,PSB,678,56.0
235,CBV - JAQUEIRA,ROSARINHO,RPA2,-8.03472566,-34.90176161,PSB,1961,38.0
256,CECOSNE,MADALENA,RPA4,-8.05316474,-34.90553639,PSB,3740,43.0
276,CEJA - POETA JOAQUIM CARDOSO,TEJIPIO,RPA5,-8.09194139,-34.94986917,PSB,1752,52.0
296,CEMEI - CENTRO MUNICIPAL DE EDUCACAO INFANTIL MÃEZINHA DO COQUE,ILHA JOANA BEZERRA,RPA1,-8.0718635,-34.8998132,PSB,2272,65.0
315,CENTRO COMUNITÁRIO SEBASTIÃO DANTAS,AREIAS,RPA5,-8.0948358,-34.9369041,PSB,1085,53.0
334,CENTRO DE ATIVIDADES DOMÉSTICAS - CAD,VARZEA,RPA4,-8.05072622,-34.95859656,PSB,1862,50.0
356,CENTRO DE CIÊNCIAS SOCIAIS APLICADAS - CCSA - UFPE,CIDADE UNIVERSITARIA,RPA4,-8.04848665,-34.95092189,PSB,3687,45.0
378,CENTRO DE EDUCAÇÃO DA UFPE,CIDADE UNIVERSITARIA,RPA4,-8.04876065,-34.95326951,PSB,2231,45.0
399,CENTRO DE EDUCAÇÃO INFANTIL BERNARD VAN LEER,BRASILIA TEIMOSA,RPA6,-8.0852583,-34.8829894,PSB,1815,52.0
417,"CENTRO DE EDUCAÇÃO, TECNOLOGIA E CIDADANIA - CETEC- ANT CENTRO NOBREGA",BOA VISTA,RPA1,-8.05737,-34.8872347,PSB,1047,40.0
438,CENTRO DE ENSINO DE CIÊNCIAS AGRÁRIAS - CEAGRI - UFRPE,DOIS IRMAOS,RPA3,-8.017815,-34.944095,PSB,1888,52.0
458,CENTRO DE ENSINO DE GRADUAÇÃO - CEGOE - UFRPE,DOIS IRMAOS,RPA3,-8.01834333,-34.95077833,PSB,3657,51.0
480,CENTRO DE FORMAÇÃO DE EDUCADORES PROFESSOR PAULO FREIRE,MADALENA,RPA4,-8.05408148,-34.90943556,PSB,2570,42.0
501,CENTRO DE REABILITAÇÃO E EDUCAÇÃO ESPECIAL,CASA AMARELA,RPA3,-8.02842167,-34.91835333,PSB,975,46.0
523,CENTRO ESCOLAR CAROCHINHA,CASA FORTE,RPA3,-8.03952833,-34.9199,PSB,2139,40.0
545,CENTRO INTERESCOLAR SANTOS DUMONT,BOA VIAGEM,RPA6,-8.1320579,-34.90687243,PSB,3885,35.0
566,CENTRO MUNICIPAL DA EDUCAÇÃO INFANTIL DO BONGI,BONGI,RPA5,-8.0666117,-34.9153278,PSB,896,53.0
587,CENTRO SOCIAL DOM JOÃO COSTA,ALTO JOSE DO PINHO,RPA3,-8.0218277,-34.90896335,PSB,1965,59.0
605,CENTRO SOCIAL URBANO BIDO KRAUSE,TEJIPIO,RPA5,-8.0796637,-34.97035266,PSB,3623,51.0
